,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
120,16653 22nd Ave,"Whitestone, NY 11357",749000,13,,,3.0,2.0,2.0,,,,"Shared Driveway,No Garage",,1955.0,,Residential,Single Family Residence,,A,Active,,3288492,Ps 184 Flushing Manor,Queens 25,Jhs 194 William Carr,Queens 25,,Queens 25,0.04,,,,6950.0
121,21007 34th Rd,"Flushing, NY 11361",1150000,36,,,4.0,2.0,1.0,,Hardwood,1.0,"Private,Detached,Driveway",,1935.0,,Residential,Single Family Residence,,A,Active,,3283243,,Queens 26,,Queens 26,,Queens 26,0.09,6107,32,Q06107-0032,9732.0
122,62-47 82nd St,"Middle Village, NY 11379",759000,4,,,3.0,2.0,1.0,,,,Private,,1940.0,,Residential,Single Family Residence,,A,Active,,3290570,,Queens 24,,Queens 24,,Queens 24,0.03,,,,6826.0
123,69-40 Yellowstone Blvd #2004,"Forest Hills, NY 11375",208000,3,,,,,,,,,,,1942.0,,Coop,,,,,,,,,,,,,,,,,
124,114-58 196th St,"Jamaica, NY 11412",549000,1,,,3.0,2.0,2.0,,,1.0,"Private,Attached",,1945.0,,Residential,Single Family Residence,,A,Active,,3291208,,Queens 29,,Queens 29,,Queens 29,0.04,11012,35,Q11012-0035,4029.0
125,232 Manor Rd,"Douglaston, NY 11363",1489000,8,,,5.0,5.0,4.0,,Hardwood,1.0,"Private,Attached,Driveway,Garage,On Street",,1915.0,,Residential,Single Family Residence,,A,Active,,3289413,Ps 98 Douglaston School (The),Queens 26,Jhs 67 Louis Pasteur,Queens 26,,Queens 26,0.21,8046,16,,17600.0
126,69-31 67th St,"Ridgewood, NY 11385",798000,40,,,,,,,,,"Garage Detached, Off Street",,1940.0,,Single Family Home,,,,,,,,,,,,,,,,,
127,83-40 Austin St #2V,"Kew Gardens, NY 11415",399000,1,,,2.0,2.0,1.0,,Hardwood,,Waitlist,,1955.0,,Residential,Stock Cooperative,,A,Active,,3291134,Ps 99 Kew Gardens,Queens 28,,Queens 28,,Queens 28,,,,,
128,85-10 34th Ave #122,"Jackson Heights, NY 11372",460000,1,,,,,,,,,,,1927.0,,Coop,,,,,,,,,,,,,,,,,
129,116-30 128th St,"South Ozone Park, NY 11420",450000,6,,,3.0,2.0,1.0,,,1.0,"Private,Attached,Detached",,1925.0,,Residential,Single Family Residence,,A,Active,,3290023,,Queens 27,,Queens 27,,Queens 27,0.05,11684,19,Q11684-0019,5511.0
130,4338 189th St,"Flushing, NY 11358",1298000,4,,,,,,,,,"Garage, Garage Attached",,1935.0,,Multi Family,,,,,,,,,,,,,,,,,
131,96-11 65th Rd #506,"Rego Park, NY 11374",428000,1,,,2.0,1.0,1.0,,,,On Street,,1939.0,,Residential,Stock Cooperative,,A,Active,,3290990,Ps 139 Rego Park,Queens 28,Jhs 190 Russell Sage,Queens 28,,Queens 28,,,,,
132,64-81 83rd St,"Middle Village, NY 11379",778000,5,,,3.0,2.0,2.0,,,1.0,"Shared Driveway,Detached",,1935.0,,Residential,Single Family Residence,,A,Active,,3290351,Ps 49 Dorothy Bonawit Kole,Queens 24,,Queens 24,,Queens 24,0.05,3020,7,Q03020-0007,6913.0
133,128-18 149th St,"Jamaica, NY 11436",550000,1,,,3.0,3.0,2.0,,"Hardwood, Other",,"Shared Drive,1 Space",,1920.0,,Residential,Single Family Residence,,Active,Active,,448616,,,,,,,2000.0,12107,40,,2970.0
134,102-21 63rd Rd #A43,"Forest Hills, NY 11375",360000,2,,,,,,,,,,,1955.0,,Coop,,,,,,,,,,,,,,,,,
135,2627 Clearview Expy,"Flushing, NY 11360",1098888,36,,,3.0,3.0,3.0,,Hardwood,1.0,"Private,Attached,Driveway",,1955.0,,Residential,Single Family Residence,,A,Active,,3283191,,Queens 26,,Queens 26,,Queens 26,0.09,,,,9612.0
136,87-05 166th St #3E,"Jamaica, NY 11432",125000,1,,,,1.0,1.0,,Hardwood,1.0,Garage,,1963.0,,Residential,Stock Cooperative,,A,Active,,3291126,Ps 131 Abigail Adams,Queens 29,,Queens 29,,Queens 29,,,,,
137,140-18 68th Dr,"Flushing, NY 11367",949000,1,,,3.0,3.0,2.0,,Hardwood,1.0,"Private,Attached,Driveway,Public Parking,On Street",,1950.0,,Residential,Townhouse,,A,Active,,3286822,Ps 20 John Bowne,Queens 25,,Queens 25,,Queens 25,0.04,,,,8205.0
138,34-39 82nd St #51,"Jackson Heights, NY 11372",598000,2,,,,,,,,,,,1936.0,,Coop,,,,,,,,,,,,,,,,,
139,36-45 211th St,"Bayside, NY 11361",1115800,99,,,5.0,3.0,2.0,,Hardwood,1.0,"Private,Detached,Driveway",,1920.0,,Residential,Single Family Residence,,A,Active,,3253471,,Queens 26,,Queens 26,,Queens 26,0.09,6170,36,Q06170-0036,8279.0
140,234-34 133rd Ave #1,"Rosedale, NY 11422",159000,41,,,1.0,1.0,1.0,,,,,,1950.0,,Residential,Stock Cooperative,,A,Active,,3282112,,Queens 29,,Queens 29,,Queens 29,,,,,
141,18720 Peck Ave,"Fresh Meadows, NY 11365",1049000,20,,,3.0,3.0,3.0,,,2.0,"Detached,Driveway,Garage",,1945.0,,Residential,Single Family Residence,,A,Active,,H6096075,Call Listing Agent,Call Listing Agent,Call Listing Agent,Call Listing Agent,,Call Listing Agent,0.31,,,,9635.0
142,78-34 64th St,"Ridgewood, NY 11385",750000,10,,,3.0,3.0,2.0,,,,Private,,1940.0,,Residential,Single Family Residence,,A,Active,,3289029,,Queens 24,,Queens 24,,Queens 24,0.06,3716,35,Q03716-0035,5663.0
143,160-15 Powells Cove Blvd #B303,"Whitestone, NY 11357",283988,7,,,,,,,,,,,1928.0,,Coop,,,,,,,,,,,,,,,,,
144,13921 85th Dr #1C,"Jamaica, NY 11435",349000,3,,,2.0,1.0,1.0,,Hardwood,,"On Street,Waitlist",,1945.0,,Residential,Stock Cooperative,,A,Active,,3290697,Ps 117 J Keld/Briarwood School,Queens 28,Jhs 217 Robert A Van Wyck,Queens 28,,Queens 28,,,,,
145,167-05 12th Ave #4B,"Whitestone, NY 11357",399888,180,,,,,,,,,,,1958.0,,Coop,,,,,,,,,,,,,,,,,
